Median Listing Price,Zip Code,Year,Month
193000.0,78728,2012,12
189900.0,78728,2013,1
194500.0,78728,2013,2
194490.0,78728,2013,3
195000.0,78728,2013,4
197995.0,78728,2013,5
199991.0,78728,2013,6
199991.0,78728,2013,7
204500.0,78728,2013,8
206990.0,78728,2013,9
214095.0,78728,2013,10
215000.0,78728,2013,11
224990.0,78728,2013,12
229995.0,78728,2014,1
221945.0,78728,2014,2
219500.0,78728,2014,3
219900.0,78728,2014,4
224900.0,78728,2014,5
225000.0,78728,2014,6
215000.0,78728,2014,7
224999.5,78728,2014,8
229900.0,78728,2014,9
220000.0,78728,2014,10
229900.0,78728,2014,11
245000.0,78728,2014,12
246000.0,78728,2015,1
245000.0,78728,2015,2
245490.0,78728,2015,3
251990.0,78728,2015,4
247999.0,78728,2015,5
244950.0,78728,2015,6
245000.0,78728,2015,7
250617.5,78728,2015,8
251235.0,78728,2015,9
239995.0,78728,2015,10
253445.0,78728,2015,11
256990.0,78728,2015,12
260000.0,78728,2016,1
273700.0,78728,2016,2
273700.0,78728,2016,3
257000.0,78728,2016,4
274900.0,78728,2016,5
275000.0,78728,2016,6
275000.0,78728,2016,7
270495.0,78728,2016,8
271445.0,78728,2016,9
275000.0,78728,2016,10
275000.0,78728,2016,11
274000.0,78728,2016,12
272500.0,78728,2017,1
266950.0,78728,2017,2
272500.0,78728,2017,3
284950.0,78728,2017,4
284900.0,78728,2017,5
271000.0,78728,2017,6
284740.0,78728,2017,7
280990.0,78728,2017,8
283055.0,78728,2017,9
291745.0,78728,2017,10
286005.0,78728,2017,11
288990.0,78728,2017,12
291005.0,78728,2018,1
295000.0,78728,2018,2
296540.0,78728,2018,3
304995.0,78728,2018,4
195000.0,78729,2010,1
189950.0,78729,2010,2
199777.0,78729,2010,3
199000.0,78729,2010,4
198900.0,78729,2010,5
194000.0,78729,2010,6
197000.0,78729,2010,7
198346.0,78729,2010,8
196900.0,78729,2010,9
191300.0,78729,2010,10
188500.0,78729,2010,11
192850.0,78729,2010,12
189990.0,78729,2011,1
189000.0,78729,2011,2
189900.0,78729,2011,3
198050.0,78729,2011,4
195900.0,78729,2011,5
199750.0,78729,2011,6
194250.0,78729,2011,7
189900.0,78729,2011,8
189900.0,78729,2011,9
184900.0,78729,2011,10
184900.0,78729,2011,11
179945.0,78729,2011,12
184759.0,78729,2012,1
184829.5,78729,2012,2
179900.0,78729,2012,3
185000.0,78729,2012,4
185000.0,78729,2012,5
189900.0,78729,2012,6
191500.0,78729,2012,7
194500.0,78729,2012,8
183247.5,78729,2012,9
185000.0,78729,2012,10
199900.0,78729,2012,11
204900.0,78729,2012,12
218500.0,78729,2013,1
219200.0,78729,2013,2
214900.0,78729,2013,3
214950.0,78729,2013,4
244950.0,78729,2013,5
242800.0,78729,2013,6
249990.0,78729,2013,7
249000.0,78729,2013,8
249990.0,78729,2013,9
257000.0,78729,2013,10
251250.0,78729,2013,11
262990.0,78729,2013,12
272600.0,78729,2014,1
276990.0,78729,2014,2
274995.0,78729,2014,3
270990.0,78729,2014,4
275000.0,78729,2014,5
284990.0,78729,2014,6
279900.0,78729,2014,7
285995.0,78729,2014,8
284995.0,78729,2014,9
284990.0,78729,2014,10
279900.0,78729,2014,11
287995.0,78729,2014,12
284990.0,78729,2015,1
284990.0,78729,2015,2
275000.0,78729,2015,3
274950.0,78729,2015,4
277450.0,78729,2015,5
289995.0,78729,2015,6
289000.0,78729,2015,7
289000.0,78729,2015,8
299900.0,78729,2015,9
279900.0,78729,2015,10
285000.0,78729,2015,11
294445.0,78729,2015,12
293495.0,78729,2016,1
265000.0,78729,2016,2
257000.0,78729,2016,3
264000.0,78729,2016,4
270000.0,78729,2016,5
268191.5,78729,2016,6
259997.0,78729,2016,7
256250.0,78729,2016,8
254350.0,78729,2016,9
251770.0,78729,2016,10
259900.0,78729,2016,11
259900.0,78729,2016,12
266500.0,78729,2017,1
259900.0,78729,2017,2
271500.0,78729,2017,3
285000.0,78729,2017,4
292450.0,78729,2017,5
294900.0,78729,2017,6
290000.0,78729,2017,7
